排行 - 股票名稱(代號),排行,證券商名稱,總買量(張),總賣量(張),剩餘量(張)
11 - 茂訊(3213),8,國泰綜合,327,287,40
11 - 茂訊(3213),9,永豐金,309,289,20
11 - 茂訊(3213),10,新光,224,266,-42
12 - 元太(8069),1,凱基,1756,1149,607
12 - 元太(8069),2,元大,924,986,-62
12 - 元太(8069),3,星洲瑞銀,722,383,339
12 - 元太(8069),4,摩根士丹利,457,285,172
12 - 元太(8069),5,富邦,122,544,-422
12 - 元太(8069),6,港商野村,601,63,538
12 - 元太(8069),7,統一,396,84,312
12 - 元太(8069),8,永豐金,129,319,-190
12 - 元太(8069),9,國泰綜合,123,309,-186
12 - 元太(8069),10,美商高盛亞,231,175,56
13 - 高技(5439),1,元大,1181,1351,-170
13 - 高技(5439),2,凱基,893,989,-96
13 - 高技(5439),3,富邦,511,501,10
13 - 高技(5439),4,星洲瑞銀,341,457,-116
13 - 高技(5439),5,永豐金,400,248,152
13 - 高技(5439),6,國泰綜合,304,251,53
13 - 高技(5439),7,群益,219,329,-110
13 - 高技(5439),8,台新,260,250,10
13 - 高技(5439),9,國票,298,106,192
13 - 高技(5439),10,華南永昌,98,238,-140
14 - 新盛力(4931),1,元大,1045,854,191
14 - 新盛力(4931),2,凱基,527,821,-294
14 - 新盛力(4931),3,富邦,598,409,189
14 - 新盛力(4931),4,星洲瑞銀,429,542,-113
14 - 新盛力(4931),5,國泰綜合,427,262,165
14 - 新盛力(4931),6,永豐金,359,274,85
14 - 新盛力(4931),7,華南永昌,228,343,-115
14 - 新盛力(4931),8,台新,240,303,-63
14 - 新盛力(4931),9,群益,237,270,-33
14 - 新盛力(4931),10,兆豐,214,164,50
15 - 大綜(3147),1,凱基,1464,297,1167
15 - 大綜(3147),2,元大,789,801,-12
15 - 大綜(3147),3,富邦,468,496,-28
15 - 大綜(3147),4,永豐金,248,372,-124
15 - 大綜(3147),5,華南永昌,224,266,-42
15 - 大綜(3147),6,元富,194,291,-97
15 - 大綜(3147),7,國泰綜合,190,294,-104
15 - 大綜(3147),8,星洲瑞銀,207,260,-53
15 - 大綜(3147),9,群益,206,256,-50
15 - 大綜(3147),10,兆豐,181,174,7
16 - 光洋科(1785),1,凱基,345,1227,-882
16 - 光洋科(1785),2,永豐金,1365,102,1263
16 - 光洋科(1785),3,元大,831,602,229
16 - 光洋科(1785),4,富邦,376,256,120
16 - 光洋科(1785),5,星洲瑞銀,76,422,-346
16 - 光洋科(1785),6,摩根大通,104,300,-196
16 - 光洋科(1785),7,國票,42,275,-233
16 - 光洋科(1785),8,美商高盛亞,0,298,-298
16 - 光洋科(1785),9,摩根士丹利,17,271,-254
16 - 光洋科(1785),10,國泰綜合,173,69,104
17 - 彬台(3379),1,元大,1034,1096,-62
17 - 彬台(3379),2,凱基,549,468,81
17 - 彬台(3379),3,富邦,397,231,166
17 - 彬台(3379),4,永豐金,257,304,-47
17 - 彬台(3379),5,國泰綜合,268,265,3
17 - 彬台(3379),6,中國信託證,118,404,-286
17 - 彬台(3379),7,美商高盛亞,185,198,-13
17 - 彬台(3379),8,華南永昌,177,195,-18
17 - 彬台(3379),9,群益,160,194,-34
17 - 彬台(3379),10,兆豐,195,158,37
18 - 聯亞(3081),1,凱基,834,509,325
18 - 聯亞(3081),2,元大,646,683,-37
18 - 聯亞(3081),3,美林證券,199,702,-503
18 - 聯亞(3081),4,富邦,342,355,-13
18 - 聯亞(3081),5,永豐金,375,274,101
18 - 聯亞(3081),6,國泰綜合,196,308,-112
18 - 聯亞(3081),7,華南永昌,296,193,103
18 - 聯亞(3081),8,統一,231,93,138
18 - 聯亞(3081),9,群益,167,143,24
18 - 聯亞(3081),10,康和,59,242,-183
19 - 僑威(3078),1,元大,783,628,155
19 - 僑威(3078),2,凱基,498,650,-152
19 - 僑威(3078),3,元富,165,781,-616
19 - 僑威(3078),4,星洲瑞銀,307,262,45
19 - 僑威(3078),5,富邦,363,159,204
19 - 僑威(3078),6,兆豐,136,330,-194
19 - 僑威(3078),7,國票,108,323,-215
19 - 僑威(3078),8,永豐金,243,157,86
19 - 僑威(3078),9,群益,192,192,0
19 - 僑威(3078),10,國泰綜合,268,113,155
20 - 波若威(3163),1,元大,640,732,-92
20 - 波若威(3163),2,凱基,479,352,127
20 - 波若威(3163),3,星洲瑞銀,318,325,-7
20 - 波若威(3163),4,永豐金,122,398,-276
20 - 波若威(3163),5,富邦,225,264,-39
20 - 波若威(3163),6,新光,168,302,-134
20 - 波若威(3163),7,國泰綜合,266,192,74
20 - 波若威(3163),8,元富,197,165,32
20 - 波若威(3163),9,群益,172,186,-14
20 - 波若威(3163),10,玉山證券,205,118,87
21 - 東捷(8064),1,元大,823,700,123
21 - 東捷(8064),2,星洲瑞銀,307,599,-292
21 - 東捷(8064),3,凱基,268,317,-49
21 - 東捷(8064),4,永豐金,226,258,-32
21 - 東捷(8064),5,富邦,283,133,150
21 - 東捷(8064),6,國泰綜合,217,89,128
21 - 東捷(8064),7,台新,162,126,36
21 - 東捷(8064),8,華南永昌,145,143,2
21 - 東捷(8064),9,兆豐,62,212,-150
21 - 東捷(8064),10,元富,146,92,54
22 - 世界(5347),1,元大,537,489,48
22 - 世界(5347),2,永豐金,146,575,-429
22 - 世界(5347),3,凱基,403,288,115
22 - 世界(5347),4,星洲瑞銀,180,360,-180
22 - 世界(5347),5,摩根大通,167,231,-64
22 - 世界(5347),6,富邦,193,199,-6
22 - 世界(5347),7,摩根士丹利,309,33,276
22 - 世界(5347),8,台灣匯立,0,283,-283
22 - 世界(5347),9,美商高盛亞,234,39,195
22 - 世界(5347),10,美林證券,196,68,128
23 - 磐儀(3594),1,元大,670,613,57
23 - 磐儀(3594),2,華南永昌,73,504,-431
23 - 磐儀(3594),3,凱基,206,347,-141
23 - 磐儀(3594),4,星洲瑞銀,294,215,79
23 - 磐儀(3594),5,永豐金,250,243,7
23 - 磐儀(3594),6,富邦,263,228,35
23 - 磐儀(3594),7,國泰綜合,372,92,280
23 - 磐儀(3594),8,群益,75,184,-109
23 - 磐儀(3594),9,新光,62,160,-98
23 - 磐儀(3594),10,統一,134,79,55
24 - 精確(3162),1,富邦,1866,1026,840
24 - 精確(3162),2,凱基,78,1093,-1015
24 - 精確(3162),3,元大,277,242,35
24 - 精確(3162),4,星洲瑞銀,103,212,-109
24 - 精確(3162),5,摩根大通,105,101,4
24 - 精確(3162),6,統一,33,87,-54
24 - 精確(3162),7,美商高盛亞,47,67,-20
24 - 精確(3162),8,台新,98,9,89
24 - 精確(3162),9,港商野村,21,85,-64
24 - 精確(3162),10,永豐金,36,60,-24
25 - 旺矽(6223),1,凱基,370,930,-560
25 - 旺矽(6223),2,元大,573,369,204
25 - 旺矽(6223),3,星洲瑞銀,254,160,94
25 - 旺矽(6223),4,富邦,278,120,158
25 - 旺矽(6223),5,華南永昌,80,297,-217
25 - 旺矽(6223),6,統一,73,243,-170
25 - 旺矽(6223),7,國泰綜合,115,127,-12
25 - 旺矽(6223),8,永豐金,134,95,39
25 - 旺矽(6223),9,美商高盛亞,127,59,68
25 - 旺矽(6223),10,摩根士丹利,86,93,-7
26 - 新復興(4909),1,元大,594,647,-53
26 - 新復興(4909),2,富邦,263,437,-174
26 - 新復興(4909),3,凱基,212,390,-178
26 - 新復興(4909),4,星洲瑞銀,239,235,4
26 - 新復興(4909),5,國泰綜合,228,149,79
26 - 新復興(4909),6,群益,177,121,56
26 - 新復興(4909),7,永豐金,169,127,42
26 - 新復興(4909),8,元富,147,121,26
26 - 新復興(4909),9,兆豐,129,107,22
26 - 新復興(4909),10,台新,124,57,67
27 - 威剛(3260),1,元大,349,557,-208
27 - 威剛(3260),2,星洲瑞銀,557,152,405
27 - 威剛(3260),3,凱基,342,155,187
27 - 威剛(3260),4,港商野村,412,0,412
27 - 威剛(3260),5,國泰綜合,26,300,-274
27 - 威剛(3260),6,富邦,76,238,-162
27 - 威剛(3260),7,永豐金,78,207,-129
27 - 威剛(3260),8,玉山證券,22,260,-238
27 - 威剛(3260),9,美商高盛亞,99,93,6
27 - 威剛(3260),10,群益,117,73,44
28 - 順達(3211),1,元大,372,397,-25
28 - 順達(3211),2,星洲瑞銀,291,308,-17
28 - 順達(3211),3,富邦,394,133,261
28 - 順達(3211),4,凱基,331,135,196
28 - 順達(3211),5,美林證券,62,370,-308
28 - 順達(3211),6,永豐金,276,125,151
28 - 順達(3211),7,兆豐,72,283,-211
28 - 順達(3211),8,台新,122,187,-65
28 - 順達(3211),9,統一,104,168,-64
28 - 順達(3211),10,群益,172,90,82
