排行 - 股票名稱(代號),排行,證券商名稱,總買量(張),總賣量(張),剩餘量(張)
11 - 富喬(1815),8,國泰綜合,815,521,294
11 - 富喬(1815),9,元富,395,506,-111
11 - 富喬(1815),10,國票,484,270,214
12 - 世界(5347),1,凱基,3086,1889,1197
12 - 世界(5347),2,元大,1115,1751,-636
12 - 世界(5347),3,摩根士丹利,2271,90,2181
12 - 世界(5347),4,富邦,636,939,-303
12 - 世界(5347),5,永豐金,326,987,-661
12 - 世界(5347),6,星洲瑞銀,927,285,642
12 - 世界(5347),7,統一,442,738,-296
12 - 世界(5347),8,摩根大通,282,765,-483
12 - 世界(5347),9,群益,338,702,-364
12 - 世界(5347),10,元富,504,428,76
13 - 環宇-KY(4991),1,元大,2594,2237,357
13 - 環宇-KY(4991),2,凱基,1632,1427,205
13 - 環宇-KY(4991),3,群益,972,805,167
13 - 環宇-KY(4991),4,星洲瑞銀,99,1507,-1408
13 - 環宇-KY(4991),5,富邦,902,628,274
13 - 環宇-KY(4991),6,永豐金,656,659,-3
13 - 環宇-KY(4991),7,國泰綜合,737,544,193
13 - 環宇-KY(4991),8,統一,487,588,-101
13 - 環宇-KY(4991),9,元富,495,366,129
13 - 環宇-KY(4991),10,兆豐,475,348,127
14 - 中光電(5371),1,元大,1991,1697,294
14 - 中光電(5371),2,凱基,1103,1475,-372
14 - 中光電(5371),3,永豐金,909,1037,-128
14 - 中光電(5371),4,富邦,740,1170,-430
14 - 中光電(5371),5,群益,562,851,-289
14 - 中光電(5371),6,國泰綜合,648,448,200
14 - 中光電(5371),7,元富,528,502,26
14 - 中光電(5371),8,華南永昌,387,432,-45
14 - 中光電(5371),9,星洲瑞銀,340,421,-81
14 - 中光電(5371),10,統一,362,339,23
15 - 協易機(4533),1,元大,2030,1970,60
15 - 協易機(4533),2,富邦,815,900,-85
15 - 協易機(4533),3,凱基,766,804,-38
15 - 協易機(4533),4,星洲瑞銀,332,845,-513
15 - 協易機(4533),5,國泰綜合,650,482,168
15 - 協易機(4533),6,華南永昌,453,375,78
15 - 協易機(4533),7,永豐金,409,359,50
15 - 協易機(4533),8,摩根大通,221,515,-294
15 - 協易機(4533),9,群益,365,333,32
15 - 協易機(4533),10,台新,387,286,101
16 - 金雨(4503),1,元大,988,2326,-1338
16 - 金雨(4503),2,富邦,749,704,45
16 - 金雨(4503),3,凱基,840,397,443
16 - 金雨(4503),4,統一,853,234,619
16 - 金雨(4503),5,永豐金,451,431,20
16 - 金雨(4503),6,元富,374,335,39
16 - 金雨(4503),7,群益,353,351,2
16 - 金雨(4503),8,新光,523,126,397
16 - 金雨(4503),9,國泰綜合,275,299,-24
16 - 金雨(4503),10,國票,325,219,106
17 - 慶騰(4534),1,元大,1106,987,119
17 - 慶騰(4534),2,富邦,672,1154,-482
17 - 慶騰(4534),3,凱基,799,785,14
17 - 慶騰(4534),4,元富,514,602,-88
17 - 慶騰(4534),5,華南永昌,512,439,73
17 - 慶騰(4534),6,群益,398,537,-139
17 - 慶騰(4534),7,永豐金,353,401,-48
17 - 慶騰(4534),8,統一,250,357,-107
17 - 慶騰(4534),9,摩根大通,273,196,77
17 - 慶騰(4534),10,國泰綜合,211,207,4
18 - 磐儀(3594),1,元大,1423,1325,98
18 - 磐儀(3594),2,凱基,574,1193,-619
18 - 磐儀(3594),3,華南永昌,686,465,221
18 - 磐儀(3594),4,永豐金,541,495,46
18 - 磐儀(3594),5,富邦,587,315,272
18 - 磐儀(3594),6,國泰綜合,534,273,261
18 - 磐儀(3594),7,星洲瑞銀,129,566,-437
18 - 磐儀(3594),8,群益,360,328,32
18 - 磐儀(3594),9,統一,257,336,-79
18 - 磐儀(3594),10,玉山證券,286,156,130
19 - 欣銓(3264),1,元大,1345,1123,222
19 - 欣銓(3264),2,凱基,793,727,66
19 - 欣銓(3264),3,國泰綜合,798,264,534
19 - 欣銓(3264),4,富邦,540,305,235
19 - 欣銓(3264),5,群益,439,374,65
19 - 欣銓(3264),6,永豐金,374,254,120
19 - 欣銓(3264),7,星洲瑞銀,130,485,-355
19 - 欣銓(3264),8,摩根士丹利,89,491,-402
19 - 欣銓(3264),9,統一,262,297,-35
19 - 欣銓(3264),10,花旗環球,0,500,-500
20 - 茂訊(3213),1,元大,1261,1185,76
20 - 茂訊(3213),2,凱基,789,970,-181
20 - 茂訊(3213),3,富邦,742,635,107
20 - 茂訊(3213),4,星洲瑞銀,489,544,-55
20 - 茂訊(3213),5,統一,487,380,107
20 - 茂訊(3213),6,華南永昌,442,409,33
20 - 茂訊(3213),7,群益,365,466,-101
20 - 茂訊(3213),8,永豐金,345,486,-141
20 - 茂訊(3213),9,新光,429,137,292
20 - 茂訊(3213),10,元富,237,290,-53
21 - 台特化(4772),1,元大,1177,1290,-113
21 - 台特化(4772),2,凱基,1032,1131,-99
21 - 台特化(4772),3,富邦,715,529,186
21 - 台特化(4772),4,永豐金,470,398,72
21 - 台特化(4772),5,群益,443,355,88
21 - 台特化(4772),6,國泰綜合,296,341,-45
21 - 台特化(4772),7,元富,173,384,-211
21 - 台特化(4772),8,統一,316,239,77
21 - 台特化(4772),9,台新,373,164,209
21 - 台特化(4772),10,星洲瑞銀,249,191,58
22 - 創惟(6104),1,元大,1298,1331,-33
22 - 創惟(6104),2,富邦,587,791,-204
22 - 創惟(6104),3,國泰綜合,494,445,49
22 - 創惟(6104),4,凱基,494,419,75
22 - 創惟(6104),5,永豐金,449,326,123
22 - 創惟(6104),6,國票,428,193,235
22 - 創惟(6104),7,群益,315,306,9
22 - 創惟(6104),8,統一,323,159,164
22 - 創惟(6104),9,港商野村,206,251,-45
22 - 創惟(6104),10,星洲瑞銀,153,269,-116
23 - 榮剛(5009),1,凱基,1265,709,556
23 - 榮剛(5009),2,港商麥格理,0,1875,-1875
23 - 榮剛(5009),3,元大,812,680,132
23 - 榮剛(5009),4,美林證券,237,438,-201
23 - 榮剛(5009),5,富邦,426,248,178
23 - 榮剛(5009),6,元富,385,225,160
23 - 榮剛(5009),7,華南永昌,364,141,223
23 - 榮剛(5009),8,永豐金,331,169,162
23 - 榮剛(5009),9,星洲瑞銀,239,242,-3
23 - 榮剛(5009),10,統一,213,239,-26
24 - 高技(5439),1,元大,1036,1120,-84
24 - 高技(5439),2,凱基,759,892,-133
24 - 高技(5439),3,永豐金,810,686,124
24 - 高技(5439),4,富邦,621,560,61
24 - 高技(5439),5,台新,487,158,329
24 - 高技(5439),6,群益,330,250,80
24 - 高技(5439),7,國泰綜合,256,154,102
24 - 高技(5439),8,國票,326,51,275
24 - 高技(5439),9,美林證券,86,285,-199
24 - 高技(5439),10,元富,163,168,-5
25 - 僑威(3078),1,元大,1088,889,199
25 - 僑威(3078),2,凱基,592,679,-87
25 - 僑威(3078),3,富邦,414,438,-24
25 - 僑威(3078),4,華南永昌,402,291,111
25 - 僑威(3078),5,星洲瑞銀,55,605,-550
25 - 僑威(3078),6,國泰綜合,331,326,5
25 - 僑威(3078),7,永豐金,321,323,-2
25 - 僑威(3078),8,群益,349,209,140
25 - 僑威(3078),9,統一,295,259,36
25 - 僑威(3078),10,元富,215,253,-38
26 - 系統電(5309),1,元大,1237,1377,-140
26 - 系統電(5309),2,凱基,538,1045,-507
26 - 系統電(5309),3,星洲瑞銀,422,468,-46
26 - 系統電(5309),4,群益,362,463,-101
26 - 系統電(5309),5,永豐金,423,341,82
26 - 系統電(5309),6,富邦,443,253,190
26 - 系統電(5309),7,國泰綜合,358,238,120
26 - 系統電(5309),8,統一,233,271,-38
26 - 系統電(5309),9,兆豐,309,195,114
26 - 系統電(5309),10,元富,237,230,7
27 - 群聯(8299),1,凱基,801,860,-59
27 - 群聯(8299),2,元大,745,843,-98
27 - 群聯(8299),3,摩根大通,582,375,207
27 - 群聯(8299),4,富邦,204,695,-491
27 - 群聯(8299),5,星洲瑞銀,553,149,404
27 - 群聯(8299),6,永豐金,267,428,-161
27 - 群聯(8299),7,兆豐,406,211,195
27 - 群聯(8299),8,國泰綜合,339,167,172
27 - 群聯(8299),9,群益,211,291,-80
27 - 群聯(8299),10,摩根士丹利,332,111,221
28 - 能率(5392),1,元大,1387,1024,363
28 - 能率(5392),2,凱基,557,1004,-447
28 - 能率(5392),3,星洲瑞銀,353,477,-124
28 - 能率(5392),4,永豐金,310,457,-147
28 - 能率(5392),5,富邦,484,266,218
28 - 能率(5392),6,群益,375,279,96
28 - 能率(5392),7,統一,212,267,-55
28 - 能率(5392),8,元富,291,180,111
28 - 能率(5392),9,國泰綜合,241,218,23
28 - 能率(5392),10,華南永昌,228,185,43
29 - 大國鋼(8415),1,元大,1153,1306,-153
29 - 大國鋼(8415),2,凱基,1000,625,375
29 - 大國鋼(8415),3,富邦,486,555,-69
29 - 大國鋼(8415),4,永豐金,432,495,-63
29 - 大國鋼(8415),5,群益,242,228,14
29 - 大國鋼(8415),6,元富,236,224,12
29 - 大國鋼(8415),7,統一,194,230,-36
29 - 大國鋼(8415),8,兆豐,202,219,-17
29 - 大國鋼(8415),9,華南永昌,169,223,-54
29 - 大國鋼(8415),10,星洲瑞銀,102,238,-136
30 - 波若威(3163),1,凱基,1637,585,1052
30 - 波若威(3163),2,元大,941,978,-37
30 - 波若威(3163),3,富邦,403,463,-60
30 - 波若威(3163),4,永豐金,256,514,-258
30 - 波若威(3163),5,星洲瑞銀,353,358,-5
30 - 波若威(3163),6,國泰綜合,218,341,-123
30 - 波若威(3163),7,元富,228,276,-48
30 - 波若威(3163),8,新光,209,213,-4
30 - 波若威(3163),9,華南永昌,179,215,-36
30 - 波若威(3163),10,群益,178,196,-18
