排行 - 股票名稱(代號),排行,證券商名稱,總買量(張),總賣量(張),剩餘量(張)
1 - 富喬(1815),1,元大,59221,54021,5200
1 - 富喬(1815),2,凱基,23739,26389,-2650
1 - 富喬(1815),3,群益,17411,17024,387
1 - 富喬(1815),4,富邦,15051,14735,316
1 - 富喬(1815),5,國泰綜合,14429,12409,2020
1 - 富喬(1815),6,永豐金,12836,13535,-699
1 - 富喬(1815),7,華南永昌,12496,12283,213
1 - 富喬(1815),8,台新,6892,8944,-2052
1 - 富喬(1815),9,元富,7066,6593,473
1 - 富喬(1815),10,兆豐,6513,6427,86
2 - 正德(2641),1,元大,12514,12327,187
2 - 正德(2641),2,凱基,8114,5796,2318
2 - 正德(2641),3,富邦,5439,6416,-977
2 - 正德(2641),4,永豐金,3023,4329,-1306
2 - 正德(2641),5,群益,2432,2385,47
2 - 正德(2641),6,星洲瑞銀,2481,1876,605
2 - 正德(2641),7,兆豐,2551,1640,911
2 - 正德(2641),8,國泰綜合,1611,1918,-307
2 - 正德(2641),9,元富,1638,1791,-153
2 - 正德(2641),10,華南永昌,1437,1699,-262
3 - 高鋒(4510),1,元大,10407,10300,107
3 - 高鋒(4510),2,凱基,4193,3862,331
3 - 高鋒(4510),3,富邦,3475,3591,-116
3 - 高鋒(4510),4,國泰綜合,3238,3352,-114
3 - 高鋒(4510),5,華南永昌,2332,2722,-390
3 - 高鋒(4510),6,永豐金,2553,2496,57
3 - 高鋒(4510),7,群益,2454,2588,-134
3 - 高鋒(4510),8,星洲瑞銀,2116,2022,94
3 - 高鋒(4510),9,台新,1838,1684,154
3 - 高鋒(4510),10,元富,1415,1493,-78
4 - 濱川(1569),1,元大,5660,5722,-62
4 - 濱川(1569),2,凱基,3035,2973,62
4 - 濱川(1569),3,富邦,2460,2023,437
4 - 濱川(1569),4,永豐金,2170,2008,162
4 - 濱川(1569),5,國泰綜合,2014,1741,273
4 - 濱川(1569),6,兆豐,1563,2026,-463
4 - 濱川(1569),7,華南永昌,1505,1274,231
4 - 濱川(1569),8,群益,1466,1310,156
4 - 濱川(1569),9,元富,1552,1105,447
4 - 濱川(1569),10,台新,878,1487,-609
5 - 華星光(4979),1,元大,4994,4521,473
5 - 華星光(4979),2,凱基,2525,3226,-701
5 - 華星光(4979),3,富邦,1920,1764,156
5 - 華星光(4979),4,國泰綜合,1564,1372,192
5 - 華星光(4979),5,群益,1103,1800,-697
5 - 華星光(4979),6,永豐金,1183,1511,-328
5 - 華星光(4979),7,統一,662,1395,-733
5 - 華星光(4979),8,星洲瑞銀,1278,742,536
5 - 華星光(4979),9,元富,808,969,-161
5 - 華星光(4979),10,兆豐,989,719,270
6 - 彬台(3379),1,元大,4404,4419,-15
6 - 彬台(3379),2,群益,1528,1621,-93
6 - 彬台(3379),3,富邦,1566,1502,64
6 - 彬台(3379),4,國泰綜合,1387,1386,1
6 - 彬台(3379),5,永豐金,1212,1378,-166
6 - 彬台(3379),6,凱基,1191,1129,62
6 - 彬台(3379),7,華南永昌,966,928,38
6 - 彬台(3379),8,統一,821,791,30
6 - 彬台(3379),9,元富,774,775,-1
6 - 彬台(3379),10,台新,746,757,-11
7 - 新復興(4909),1,元大,4407,4189,218
7 - 新復興(4909),2,凱基,2390,3038,-648
7 - 新復興(4909),3,國泰綜合,1416,1351,65
7 - 新復興(4909),4,富邦,1290,1256,34
7 - 新復興(4909),5,永豐金,1237,1256,-19
7 - 新復興(4909),6,群益,973,1048,-75
7 - 新復興(4909),7,新光,792,742,50
7 - 新復興(4909),8,台新,896,581,315
7 - 新復興(4909),9,元富,729,674,55
7 - 新復興(4909),10,統一,589,659,-70
8 - 環宇-KY(4991),1,元大,3758,3133,625
8 - 環宇-KY(4991),2,凱基,2451,2739,-288
8 - 環宇-KY(4991),3,國泰綜合,1122,1948,-826
8 - 環宇-KY(4991),4,富邦,1522,1327,195
8 - 環宇-KY(4991),5,元富,618,1561,-943
8 - 環宇-KY(4991),6,永豐金,987,853,134
8 - 環宇-KY(4991),7,群益,820,646,174
8 - 環宇-KY(4991),8,新光,780,684,96
8 - 環宇-KY(4991),9,星洲瑞銀,678,774,-96
8 - 環宇-KY(4991),10,華南永昌,648,616,32
9 - 能率(5392),1,元大,3888,3551,337
9 - 能率(5392),2,凱基,2263,2095,168
9 - 能率(5392),3,富邦,1406,1207,199
9 - 能率(5392),4,永豐金,1035,1199,-164
9 - 能率(5392),5,兆豐,1149,891,258
9 - 能率(5392),6,星洲瑞銀,763,1084,-321
9 - 能率(5392),7,華南永昌,875,951,-76
9 - 能率(5392),8,元富,694,865,-171
9 - 能率(5392),9,群益,792,681,111
9 - 能率(5392),10,國泰綜合,629,699,-70
10 - 合晶(6182),1,摩根士丹利,2672,12953,-10281
10 - 合晶(6182),2,摩根大通,4418,1006,3412
10 - 合晶(6182),3,美商高盛亞,3338,195,3143
10 - 合晶(6182),4,星洲瑞銀,2389,814,1575
10 - 合晶(6182),5,上海匯豐,119,1995,-1876
10 - 合晶(6182),6,美林證券,1425,5,1420
10 - 合晶(6182),7,凱基,903,183,720
10 - 合晶(6182),8,富邦,657,120,537
10 - 合晶(6182),9,花旗環球,747,0,747
10 - 合晶(6182),10,元大,303,420,-117
11 - 新盛力(4931),1,元大,3074,2718,356
11 - 新盛力(4931),2,凱基,2407,1996,411
11 - 新盛力(4931),3,富邦,1201,1581,-380
11 - 新盛力(4931),4,永豐金,1098,1276,-178
11 - 新盛力(4931),5,元富,821,1070,-249
11 - 新盛力(4931),6,國泰綜合,930,886,44
11 - 新盛力(4931),7,華南永昌,687,718,-31
11 - 新盛力(4931),8,群益,614,787,-173
11 - 新盛力(4931),9,統一,571,761,-190
11 - 新盛力(4931),10,台新,575,590,-15
12 - 高技(5439),1,元大,3269,4016,-747
12 - 高技(5439),2,凱基,1067,1625,-558
