排行 - 股票名稱(代號),排行,證券商名稱,總買量(張),總賣量(張),剩餘量(張)
1 - 富喬(1815),1,元大,10282,8767,1515
1 - 富喬(1815),2,凱基,3313,7801,-4488
1 - 富喬(1815),3,群益,2692,4564,-1872
1 - 富喬(1815),4,富邦,4081,2331,1750
1 - 富喬(1815),5,星洲瑞銀,2351,2345,6
1 - 富喬(1815),6,國泰綜合,2821,1691,1130
1 - 富喬(1815),7,永豐金,2287,2154,133
1 - 富喬(1815),8,華南永昌,1898,1080,818
1 - 富喬(1815),9,統一,691,1469,-778
1 - 富喬(1815),10,元富,1212,805,407
2 - 擎亞(8096),1,元大,4370,4328,42
2 - 擎亞(8096),2,富邦,3161,1663,1498
2 - 擎亞(8096),3,永豐金,1471,2849,-1378
2 - 擎亞(8096),4,統一,1318,2112,-794
2 - 擎亞(8096),5,凱基,1399,1901,-502
2 - 擎亞(8096),6,國泰綜合,999,1475,-476
2 - 擎亞(8096),7,群益,1214,1073,141
2 - 擎亞(8096),8,華南永昌,795,1454,-659
2 - 擎亞(8096),9,國票,898,669,229
2 - 擎亞(8096),10,台新,777,603,174
3 - 高鋒(4510),1,元大,4492,3775,717
3 - 高鋒(4510),2,凱基,2395,2706,-311
3 - 高鋒(4510),3,群益,1246,1419,-173
3 - 高鋒(4510),4,星洲瑞銀,729,1516,-787
3 - 高鋒(4510),5,富邦,1251,984,267
3 - 高鋒(4510),6,國泰綜合,1290,943,347
3 - 高鋒(4510),7,永豐金,1085,1070,15
3 - 高鋒(4510),8,台新,829,655,174
3 - 高鋒(4510),9,華南永昌,674,716,-42
3 - 高鋒(4510),10,元富,668,620,48
4 - 正德(2641),1,元大,2934,3009,-75
4 - 正德(2641),2,凱基,2007,1451,556
4 - 正德(2641),3,富邦,1283,1212,71
4 - 正德(2641),4,元富,1219,444,775
4 - 正德(2641),5,群益,567,978,-411
4 - 正德(2641),6,永豐金,509,982,-473
4 - 正德(2641),7,華南永昌,548,804,-256
4 - 正德(2641),8,星洲瑞銀,434,818,-384
4 - 正德(2641),9,國泰綜合,485,747,-262
4 - 正德(2641),10,兆豐,220,986,-766
5 - 信立(4303),1,元大,3496,2976,520
5 - 信立(4303),2,凱基,1412,1392,20
5 - 信立(4303),3,富邦,1321,743,578
5 - 信立(4303),4,永豐金,986,811,175
5 - 信立(4303),5,統一,238,1500,-1262
5 - 信立(4303),6,華南永昌,763,833,-70
5 - 信立(4303),7,群益,800,781,19
5 - 信立(4303),8,國泰綜合,871,561,310
5 - 信立(4303),9,元富,528,817,-289
5 - 信立(4303),10,星洲瑞銀,586,616,-30
6 - 濱川(1569),1,元大,2633,1947,686
6 - 濱川(1569),2,凱基,1497,1773,-276
6 - 濱川(1569),3,富邦,1023,562,461
6 - 濱川(1569),4,國票,164,1098,-934
6 - 濱川(1569),5,國泰綜合,762,406,356
6 - 濱川(1569),6,永豐金,535,483,52
6 - 濱川(1569),7,兆豐,496,450,46
6 - 濱川(1569),8,華南永昌,311,607,-296
6 - 濱川(1569),9,群益,457,458,-1
6 - 濱川(1569),10,星洲瑞銀,282,602,-320
7 - 華星光(4979),1,元大,1645,2222,-577
7 - 華星光(4979),2,凱基,779,1209,-430
7 - 華星光(4979),3,國泰綜合,591,677,-86
7 - 華星光(4979),4,兆豐,339,717,-378
7 - 華星光(4979),5,富邦,550,501,49
7 - 華星光(4979),6,群益,470,437,33
7 - 華星光(4979),7,星洲瑞銀,587,276,311
7 - 華星光(4979),8,永豐金,436,334,102
7 - 華星光(4979),9,元富,316,400,-84
7 - 華星光(4979),10,台新,237,346,-109
8 - 環宇-KY(4991),1,元大,1577,1442,135
8 - 環宇-KY(4991),2,凱基,777,910,-133
8 - 環宇-KY(4991),3,富邦,523,794,-271
8 - 環宇-KY(4991),4,國泰綜合,388,780,-392
8 - 環宇-KY(4991),5,永豐金,406,562,-156
8 - 環宇-KY(4991),6,星洲瑞銀,647,244,403
8 - 環宇-KY(4991),7,群益,385,403,-18
8 - 環宇-KY(4991),8,中國信託證,188,531,-343
8 - 環宇-KY(4991),9,新光,262,295,-33
8 - 環宇-KY(4991),10,元富,258,258,0
9 - 大江(8436),1,元大,1350,1559,-209
9 - 大江(8436),2,凱基,671,832,-161
9 - 大江(8436),3,台新,944,465,479
9 - 大江(8436),4,星洲瑞銀,539,581,-42
9 - 大江(8436),5,永豐金,549,511,38
9 - 大江(8436),6,富邦,496,519,-23
9 - 大江(8436),7,國泰綜合,505,399,106
9 - 大江(8436),8,群益,287,468,-181
9 - 大江(8436),9,統一,443,217,226
9 - 大江(8436),10,華南永昌,307,353,-46
10 - 茂訊(3213),1,元大,1090,1133,-43
10 - 茂訊(3213),2,富邦,509,599,-90
10 - 茂訊(3213),3,凱基,509,578,-69
10 - 茂訊(3213),4,星洲瑞銀,279,388,-109
10 - 茂訊(3213),5,兆豐,306,292,14
10 - 茂訊(3213),6,群益,208,311,-103
10 - 茂訊(3213),7,華南永昌,249,245,4
10 - 茂訊(3213),8,國泰綜合,259,197,62
10 - 茂訊(3213),9,永豐金,240,185,55
10 - 茂訊(3213),10,新光,173,222,-49
11 - 高技(5439),1,元大,1075,1240,-165
11 - 高技(5439),2,凱基,821,955,-134
11 - 高技(5439),3,富邦,475,461,14
11 - 高技(5439),4,星洲瑞銀,252,376,-124
11 - 高技(5439),5,永豐金,367,220,147
11 - 高技(5439),6,國泰綜合,283,210,73
11 - 高技(5439),7,群益,200,277,-77
11 - 高技(5439),8,台新,211,203,8
11 - 高技(5439),9,國票,280,95,185
11 - 高技(5439),10,華南永昌,89,229,-140
12 - 元太(8069),1,凱基,1276,912,364
12 - 元太(8069),2,元大,681,643,38
12 - 元太(8069),3,星洲瑞銀,634,365,269
12 - 元太(8069),4,港商野村,601,63,538
12 - 元太(8069),5,富邦,76,345,-269
12 - 元太(8069),6,港商麥格理,306,17,289
12 - 元太(8069),7,摩根士丹利,84,200,-116
12 - 元太(8069),8,永豐金,92,178,-86
12 - 元太(8069),9,摩根大通,13,254,-241
12 - 元太(8069),10,國泰綜合,100,159,-59
13 - 欣銓(3264),1,元大,590,829,-239
13 - 欣銓(3264),2,凱基,568,483,85
13 - 欣銓(3264),3,永豐金,154,772,-618
13 - 欣銓(3264),4,國泰綜合,291,231,60
13 - 欣銓(3264),5,群益,351,148,203
13 - 欣銓(3264),6,星洲瑞銀,218,229,-11
13 - 欣銓(3264),7,富邦,298,147,151
13 - 欣銓(3264),8,美商高盛亞,50,307,-257
13 - 欣銓(3264),9,玉山證券,173,109,64
13 - 欣銓(3264),10,元富,170,99,71
14 - 新盛力(4931),1,元大,898,757,141
14 - 新盛力(4931),2,凱基,357,731,-374
14 - 新盛力(4931),3,星洲瑞銀,382,487,-105
14 - 新盛力(4931),4,富邦,524,310,214
14 - 新盛力(4931),5,國泰綜合,297,239,58
14 - 新盛力(4931),6,永豐金,300,193,107
14 - 新盛力(4931),7,群益,186,240,-54
14 - 新盛力(4931),8,台新,184,154,30
14 - 新盛力(4931),9,華南永昌,183,136,47
14 - 新盛力(4931),10,兆豐,127,150,-23
15 - 彬台(3379),1,元大,888,939,-51
15 - 彬台(3379),2,凱基,466,386,80
15 - 彬台(3379),3,富邦,295,185,110
15 - 彬台(3379),4,永豐金,203,270,-67
15 - 彬台(3379),5,中國信託證,92,381,-289
15 - 彬台(3379),6,國泰綜合,237,233,4
15 - 彬台(3379),7,美商高盛亞,179,156,23
15 - 彬台(3379),8,華南永昌,157,164,-7
15 - 彬台(3379),9,兆豐,178,138,40
15 - 彬台(3379),10,群益,125,148,-23
16 - 大綜(3147),1,凱基,1127,245,882
16 - 大綜(3147),2,元大,579,607,-28
16 - 大綜(3147),3,富邦,304,364,-60
16 - 大綜(3147),4,永豐金,209,274,-65
16 - 大綜(3147),5,星洲瑞銀,142,249,-107
16 - 大綜(3147),6,華南永昌,189,200,-11
16 - 大綜(3147),7,元富,140,226,-86
16 - 大綜(3147),8,群益,133,190,-57
16 - 大綜(3147),9,國泰綜合,149,137,12
16 - 大綜(3147),10,兆豐,152,119,33
17 - 聯亞(3081),1,元大,499,504,-5
17 - 聯亞(3081),2,凱基,604,367,237
17 - 聯亞(3081),3,美林證券,145,562,-417
17 - 聯亞(3081),4,富邦,246,245,1
17 - 聯亞(3081),5,永豐金,277,200,77
17 - 聯亞(3081),6,國泰綜合,151,297,-146
17 - 聯亞(3081),7,華南永昌,213,152,61
17 - 聯亞(3081),8,統一,196,89,107
17 - 聯亞(3081),9,群益,124,121,3
17 - 聯亞(3081),10,元富,58,179,-121
18 - 僑威(3078),1,元大,633,592,41
18 - 僑威(3078),2,凱基,391,455,-64
18 - 僑威(3078),3,元富,129,416,-287
18 - 僑威(3078),4,星洲瑞銀,258,229,29
18 - 僑威(3078),5,富邦,278,135,143
18 - 僑威(3078),6,統一,81,239,-158
18 - 僑威(3078),7,群益,155,160,-5
18 - 僑威(3078),8,永豐金,185,129,56
18 - 僑威(3078),9,國泰綜合,197,99,98
18 - 僑威(3078),10,兆豐,70,223,-153
19 - 東捷(8064),1,元大,770,679,91
19 - 東捷(8064),2,星洲瑞銀,296,547,-251
19 - 東捷(8064),3,凱基,265,307,-42
19 - 東捷(8064),4,永豐金,207,251,-44
19 - 東捷(8064),5,富邦,255,122,133
19 - 東捷(8064),6,國泰綜合,210,80,130
19 - 東捷(8064),7,台新,157,126,31
19 - 東捷(8064),8,華南永昌,140,140,0
19 - 東捷(8064),9,兆豐,56,208,-152
19 - 東捷(8064),10,美林證券,0,236,-236
20 - 光洋科(1785),1,元大,671,428,243
20 - 光洋科(1785),2,凱基,297,622,-325
20 - 光洋科(1785),3,富邦,303,191,112
20 - 光洋科(1785),4,永豐金,318,66,252
20 - 光洋科(1785),5,星洲瑞銀,73,307,-234
20 - 光洋科(1785),6,摩根大通,91,220,-129
20 - 光洋科(1785),7,國票,20,185,-165
20 - 光洋科(1785),8,摩根士丹利,4,197,-193
20 - 光洋科(1785),9,國泰綜合,139,60,79
20 - 光洋科(1785),10,華南永昌,144,46,98
21 - 波若威(3163),1,元大,484,479,5
21 - 波若威(3163),2,凱基,366,289,77
21 - 波若威(3163),3,星洲瑞銀,141,271,-130
21 - 波若威(3163),4,新光,121,279,-158
21 - 波若威(3163),5,富邦,169,187,-18
21 - 波若威(3163),6,國泰綜合,220,130,90
21 - 波若威(3163),7,永豐金,81,252,-171
21 - 波若威(3163),8,群益,130,131,-1
21 - 波若威(3163),9,玉山證券,142,84,58
21 - 波若威(3163),10,兆豐,93,128,-35
22 - 新復興(4909),1,元大,530,599,-69
22 - 新復興(4909),2,富邦,237,429,-192
22 - 新復興(4909),3,凱基,193,348,-155
22 - 新復興(4909),4,星洲瑞銀,239,164,75
22 - 新復興(4909),5,國泰綜合,200,119,81
22 - 新復興(4909),6,永豐金,141,123,18
22 - 新復興(4909),7,群益,155,86,69
22 - 新復興(4909),8,元富,123,110,13
22 - 新復興(4909),9,兆豐,118,101,17
22 - 新復興(4909),10,台新,111,52,59
23 - 磐儀(3594),1,元大,489,400,89
23 - 磐儀(3594),2,永豐金,166,230,-64
23 - 磐儀(3594),3,凱基,146,248,-102
23 - 磐儀(3594),4,富邦,204,190,14
23 - 磐儀(3594),5,星洲瑞銀,280,88,192
23 - 磐儀(3594),6,華南永昌,61,291,-230
23 - 磐儀(3594),7,群益,61,170,-109
23 - 磐儀(3594),8,國泰綜合,135,63,72
23 - 磐儀(3594),9,新光,45,144,-99
23 - 磐儀(3594),10,統一,103,58,45
24 - 台特化(4772),1,元大,455,393,62
24 - 台特化(4772),2,凱基,280,317,-37
24 - 台特化(4772),3,富邦,209,340,-131
24 - 台特化(4772),4,台新,92,208,-116
24 - 台特化(4772),5,群益,121,163,-42
24 - 台特化(4772),6,星洲瑞銀,138,128,10
24 - 台特化(4772),7,國泰綜合,131,122,9
24 - 台特化(4772),8,元富,152,74,78
24 - 台特化(4772),9,兆豐,92,94,-2
24 - 台特化(4772),10,永豐金,102,67,35
25 - 湧德(3689),1,元大,529,345,184
25 - 湧德(3689),2,富邦,262,227,35
25 - 湧德(3689),3,凱基,124,190,-66
25 - 湧德(3689),4,統一,26,254,-228
25 - 湧德(3689),5,永豐金,153,120,33
25 - 湧德(3689),6,國泰綜合,106,150,-44
25 - 湧德(3689),7,兆豐,45,185,-140
25 - 湧德(3689),8,新光,50,174,-124
25 - 湧德(3689),9,群益,89,130,-41
25 - 湧德(3689),10,華南永昌,116,74,42
26 - 威剛(3260),1,元大,299,376,-77
26 - 威剛(3260),2,星洲瑞銀,486,132,354
26 - 威剛(3260),3,凱基,278,142,136
26 - 威剛(3260),4,國泰綜合,22,292,-270
26 - 威剛(3260),5,港商野村,305,0,305
26 - 威剛(3260),6,富邦,70,216,-146
26 - 威剛(3260),7,永豐金,75,170,-95
26 - 威剛(3260),8,玉山證券,12,182,-170
26 - 威剛(3260),9,美商高盛亞,95,71,24
26 - 威剛(3260),10,群益,100,65,35
27 - 精確(3162),1,富邦,1454,390,1064
27 - 精確(3162),2,凱基,41,1076,-1035
27 - 精確(3162),3,元大,149,192,-43
27 - 精確(3162),4,星洲瑞銀,85,86,-1
27 - 精確(3162),5,港商野村,21,76,-55
27 - 精確(3162),6,統一,11,86,-75
27 - 精確(3162),7,永豐金,24,49,-25
27 - 精確(3162),8,摩根大通,21,51,-30
27 - 精確(3162),9,台新,63,8,55
27 - 精確(3162),10,美商高盛亞,36,24,12
28 - 順達(3211),1,元大,285,342,-57
28 - 順達(3211),2,星洲瑞銀,264,290,-26
28 - 順達(3211),3,富邦,356,116,240
28 - 順達(3211),4,兆豐,62,266,-204
28 - 順達(3211),5,凱基,207,103,104
28 - 順達(3211),6,台新,97,180,-83
28 - 順達(3211),7,美林證券,58,210,-152
28 - 順達(3211),8,永豐金,146,119,27
28 - 順達(3211),9,群益,120,75,45
28 - 順達(3211),10,美商高盛亞,122,1,121
29 - 創惟(6104),1,元大,375,360,15
29 - 創惟(6104),2,凱基,278,409,-131
29 - 創惟(6104),3,富邦,242,239,3
29 - 創惟(6104),4,星洲瑞銀,136,224,-88
29 - 創惟(6104),5,摩根士丹利,188,100,88
29 - 創惟(6104),6,第一金證券,170,27,143
29 - 創惟(6104),7,統一,103,80,23
29 - 創惟(6104),8,國泰綜合,75,72,3
29 - 創惟(6104),9,永豐金,64,82,-18
29 - 創惟(6104),10,美商高盛亞,109,30,79
30 - 世界(5347),1,元大,344,377,-33
30 - 世界(5347),2,凱基,292,139,153
30 - 世界(5347),3,星洲瑞銀,154,271,-117
